year,region,CPI: 01 - Food and non-Alcoholic beverages,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",CPI: 03 - Clothing and footwear,"CPI: 04 - Housing, water, electricity, gas and other fuels","CPI: 05 - Furnishings, household equipment and routine household maintenance",CPI: 06 - Health,CPI: 07 - Transport,CPI: 08 - Communication,CPI: 09 - Recreation and culture,CPI: 10 - Education,CPI: 11 - Restaurants and hotels,CPI: 12 - Miscellaneous goods and services
1995,AT,0.602166472358533,0.5148901255977907,0.011233618535516406,0.589151535619811,0.2300247352016694,0.5202661917361112,0.3763239840519054,0.21874282761523525,0.3054161676014364,0.5641065865740006,0.24995364029107858,0.48948110325822425
1995,AU,0.8571082006476192,0.8108990810620946,0.012107663019968316,0.9214840864144291,0.6914084140317314,0.7320722619022032,0.5797870026995197,0.5352810425460475,0.6265821769695014,0.7627672795725328,0.5572827512442948,0.7105365818544058
1995,BE,0.33916275953615516,0.21930823213991338,0.05185650768126466,0.6723865254864532,0.3387222091546137,0.4823431652048124,0.5296294940891216,0.5158201223184514,0.2623812946844668,0.5575135961526564,0.488358270642202,0.5809978852128833
1995,BG,0.8188318841331069,0.4915324676866215,0.3899029531076354,0.9549262380369583,0.503076669116853,0.8379203549487955,0.7942018764886928,0.8127648973264354,0.7488921926016393,0.7948385164591242,0.8264894394585539,0.7762784680588312
1995,BR,0.8901951582609313,0.827687940858514,0.7143866565682079,0.8818546386801323,0.7990758174960161,0.7343651309530353,0.7421400763664603,0.809665323387334,0.7843709076995289,0.8191918604370226,0.6246689065501884,0.7742167450384014
1995,CA,0.5095152170751721,0.580265949413346,0.04968794661038378,0.8376021789701062,0.6073911307771718,0.7547316829787524,0.7013275659523279,0.5517561396028724,0.7386219475838821,0.6164142573390806,0.004724511626369395,0.7396330262550217
1995,CH,0.3449133671579708,0.12880562607003604,0.02585276122900171,0.30861514937500084,0.20538726420622055,0.23586270618904992,0.3462411094559818,0.19124372355292288,0.23319640461679098,0.31705740839526336,0.11748118476489094,0.28116420512865514
1995,CN,0.9479791098633495,0.7472038160626784,0.8904812642656715,0.9713563644365736,0.9395909719345186,0.9410349384014524,0.8759993627061041,0.9137279207553674,0.9298657555016631,0.9683859661504151,0.8664248572404404,0.9394080315767043
1995,CY,0.2637926319650032,0.16380234477901065,0.013199925802500942,0.8256512553422388,0.1044860606227369,0.1909498863575414,0.017759753645769632,0.2582589036691264,0.17786188543486808,0.27170404635175305,0.00014034595736374083,0.25114025250758193
1995,CZ,0.7908375624726325,0.4779705348591191,0.23221475291916757,0.9105827101330511,0.7686781299850114,0.8317427403488983,0.7525625488341794,0.7798339003376461,0.7960702103678898,0.820695258238632,0.20940234696058016,0.8163630836286805
1995,DE,0.5420063837108622,0.5915496517682984,0.11165876397824395,0.8735538306913815,0.477686787738349,0.6626000963246605,0.5423150472781797,0.6195026702119233,0.6458798441661746,0.7106514587338189,0.2757302252318869,0.6899746559722216
1995,DK,0.6606997555456102,0.4406919146664872,0.03177103104372211,0.6870089504172623,0.42203690069818794,0.6277757624627431,0.4798700150430712,0.6874403714025804,0.5465350119506233,0.6788344577626132,0.638267816952194,0.5787389309717206
1995,EE,0.5028283368849268,0.2963964775515457,0.4336819640401113,0.9335440427764607,0.5177051772164253,0.8559667466167915,0.18057099989292785,0.6534428777936109,0.7035721106981073,0.9090963500328121,0.002285449046510364,0.8116280756366124
1995,ES,0.5315985897113656,0.6298327792335809,0.5491395893221017,0.8111041072724869,0.6279055982562228,0.6114363220677055,0.5329172929619526,0.5127565724942709,0.6010331810891193,0.7192440368868769,0.6457411523890937,0.6634524366613135
1995,FI,0.6935568301839071,0.5935767918231896,0.06772523286854208,0.7230238775477431,0.34024021183834713,0.3230426141362174,0.3415618366659632,0.30923172218746114,0.4061564758303461,0.5963114995981239,0.36848622297506056,0.49803368522189956
1995,FR,0.4273777017939642,0.37209998381558884,0.06976116547412775,0.6020027372064989,0.34149373166646835,0.40654573850860765,0.3922482253311174,0.3535387064859984,0.38348899961400434,0.4989632927785557,0.47470444903030884,0.42801625879708866
1995,GB,0.5790613575377502,0.43521796277811264,0.12700982618205303,0.8223922161498705,0.5478979271926633,0.6556241089775405,0.32370567395620986,0.45869704022176894,0.5218810812838511,0.7364173440901189,0.35291461909193067,0.5438024803769674
1995,GR,0.7436170384823975,0.6721978453239237,0.4624895061785881,0.8650180180508215,0.6372698790314032,0.648755549610378,0.8689897469656193,0.45798964679745574,0.6220044541733346,0.7190735556690322,0.739027248518124,0.7703002705510961
1995,HR,0.587957155845486,0.700429455609937,0.3084377771096957,0.6024959232924322,0.4411741765021378,0.533400225336521,0.5876729916460459,0.5784561231512323,0.5122155859133488,0.5043052286206211,0.33097497729429465,0.5249211929239191
1995,HU,0.6932669015394798,0.5826701439653188,0.09165221895041835,0.7781369419742672,0.4510454644323949,0.5330318195401921,0.5380138219877286,0.6135353158170112,0.5643397951326082,0.6920041983837392,0.05044495801525399,0.5930749791888171
1995,ID,0.8402422749278616,0.6438499505574777,0.18145361993953799,0.8101861171565153,0.5194884269196398,0.5765579016099026,0.6268314960189109,0.6917431092946966,0.575598286703987,0.8697139196685348,0.0024879982119689497,0.7184954397446368
1995,IE,0.8741688888070401,0.4068095345977466,0.1943720821636352,0.8056138212610264,0.3303495425296419,0.5341800445941576,0.2893526782494243,0.3375547544234438,0.43800436553789573,0.6799414979547985,0.29864114542979026,0.43883396310622597
